dataset,case_id,noise_name,split,mean_iou_noisy,mean_iou_refined,delta_iou
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.827376723,0.746574361,-0.080802363
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.696589693,0.739869303,0.04327961
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.696287191,0.735151155,0.038863964
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.594689676,0.718978415,0.124288739
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.594292213,0.712323283,0.11803107
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.513800262,0.681361963,0.1675617
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.513342003,0.673992683,0.16065068
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.751712385,0.747604214,-0.004108171
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.751695324,0.747524925,-0.004170399
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.601043219,0.72789807,0.126854851
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.601470704,0.726453174,0.124982471
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.463979785,0.629585529,0.165605743
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.463892903,0.631694295,0.167801392
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.453283698,0.619490711,0.166207012
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.452408079,0.618503729,0.16609565
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.342929409,0.436518184,0.093588776
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.343223941,0.444008171,0.10078423
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.359999985,0.522254271,0.162254286
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999833,0.538098446,0.178098613
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.490000024,0.716224497,0.226224473
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.489999848,0.73206442,0.242064573
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639999955,0.841103151,0.201103195
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.640000152,0.835878051,0.1958779
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.81000055,0.865828177,0.055827627
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.810000367,0.854758279,0.044757912
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.826446475,0.83891546,0.012468985
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.82685472,0.835803992,0.008949271
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.69444441,0.809661214,0.115216804
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.695162243,0.809640194,0.11447795
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.591715972,0.769855002,0.17813903
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.59270154,0.77498468,0.18228314
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.510204068,0.717717634,0.207513566
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.51136269,0.726225555,0.214862864
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.751243318,0.848830769,0.097587451
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.748238264,0.839005815,0.09076755
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.592829542,0.789115322,0.19628578
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.605373719,0.794455581,0.189081862
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.465806785,0.662436632,0.196629847
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.449202306,0.655285654,0.206083348
