dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
homeobjects-3K,detr,scale_1.4,labels_scale_1.4,object_only,explicit,1,2285,2285,4,640,0.425091514,0.069025149,0.498833886,0.507204611
african-wildlife,yolov8n,original,labels,multiclass,explicit,1,1052,1052,32,640,0.941042272,0.749435463,0.917151493,0.880639802
african-wildlife,detr,original,labels,multiclass,explicit,1,1052,1052,4,640,0.937390617,0.797228644,0.918314678,0.890348127
african-wildlife,yolov8n,original,labels,object_only,explicit,1,1052,1052,32,640,0.949116719,0.750912285,0.937969102,0.877737719
african-wildlife,detr,original,labels,object_only,explicit,1,1052,1052,4,640,0.93039595,0.768776981,0.926513997,0.864932221
african-wildlife,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1052,1052,32,640,0.04220173,0.007448684,0.109531761,0.076105936
african-wildlife,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1052,1052,4,640,0.014870834,0.003184203,0.043655146,0.057187726
african-wildlife,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,1052,1052,32,640,0.154880701,0.024382511,0.290792038,0.197889182
african-wildlife,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,1052,1052,4,640,0.011645781,0.002311719,0.021708129,0.052770449
african-wildlife,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1052,1052,32,640,0.260787822,0.046316864,0.393573971,0.280270201
african-wildlife,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1052,1052,4,640,0.335852511,0.043733972,0.500612857,0.441691051
african-wildlife,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,1052,1052,32,640,0.356572305,0.043984645,0.52193044,0.44591029
african-wildlife,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,1052,1052,4,640,0.340536666,0.040285302,0.576276916,0.455738045
african-wildlife,yolov8n,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1052,1052,32,640,0.886784983,0.261250719,0.916822172,0.796307276
african-wildlife,detr,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1052,1052,4,640,0.84536166,0.293147355,0.88033278,0.775422368
african-wildlife,yolov8n,scale_0.8,labels_scale_0.8,object_only,explicit,1,1052,1052,32,640,0.895609747,0.275135738,0.889575066,0.828974994
african-wildlife,detr,scale_0.8,labels_scale_0.8,object_only,explicit,1,1052,1052,4,640,0.779079329,0.291809883,0.833933094,0.72823219
african-wildlife,yolov8n,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1052,1052,32,640,0.928625227,0.539282075,0.933352862,0.847817647
african-wildlife,detr,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1052,1052,4,640,0.92426129,0.570000544,0.899639568,0.907158348
african-wildlife,yolov8n,scale_0.9,labels_scale_0.9,object_only,explicit,1,1052,1052,32,640,0.948522715,0.547720274,0.945500238,0.86972572
african-wildlife,detr,scale_0.9,labels_scale_0.9,object_only,explicit,1,1052,1052,4,640,0.929316262,0.575870514,0.931636091,0.862961995
african-wildlife,yolov8n,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1052,1052,32,640,0.94046654,0.591139789,0.943277991,0.856173102
african-wildlife,detr,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1052,1052,4,640,0.905685011,0.590988324,0.905896623,0.865496466
african-wildlife,yolov8n,scale_1.1,labels_scale_1.1,object_only,explicit,1,1052,1052,32,640,0.945400786,0.615388593,0.949397033,0.841553638
african-wildlife,detr,scale_1.1,labels_scale_1.1,object_only,explicit,1,1052,1052,4,640,0.909969799,0.611446138,0.902109616,0.826722708
african-wildlife,yolov8n,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1052,1052,32,640,0.928022651,0.408520042,0.920361081,0.868184191
african-wildlife,detr,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1052,1052,4,640,0.920354052,0.402559931,0.946734282,0.873182813
african-wildlife,yolov8n,scale_1.2,labels_scale_1.2,object_only,explicit,1,1052,1052,32,640,0.926636543,0.409727319,0.896328072,0.868073879
african-wildlife,detr,scale_1.2,labels_scale_1.2,object_only,explicit,1,1052,1052,4,640,0.885140086,0.396333109,0.879018304,0.857519789
african-wildlife,yolov8n,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1052,1052,32,640,0.89667045,0.262263536,0.899461255,0.829166845
african-wildlife,detr,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1052,1052,4,640,0.841240293,0.272995947,0.85864118,0.805325821
african-wildlife,yolov8n,scale_1.3,labels_scale_1.3,object_only,explicit,1,1052,1052,32,640,0.886538485,0.255949686,0.898718502,0.802110818
african-wildlife,detr,scale_1.3,labels_scale_1.3,object_only,explicit,1,1052,1052,4,640,0.864551166,0.330565555,0.913406162,0.799472296
african-wildlife,yolov8n,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1052,1052,32,640,0.665178574,0.14785565,0.741953101,0.676369285
african-wildlife,detr,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1052,1052,4,640,0.724040641,0.159337455,0.787942767,0.713709523
african-wildlife,yolov8n,scale_1.4,labels_scale_1.4,object_only,explicit,1,1052,1052,32,640,0.689490785,0.151433964,0.745085324,0.670953223
african-wildlife,detr,scale_1.4,labels_scale_1.4,object_only,explicit,1,1052,1052,4,640,0.728250743,0.167146247,0.796937962,0.704151351
construction-ppe,yolov8n,original,labels,multiclass,explicit,1,1132,1132,32,640,0.544955399,0.271737499,0.610915881,0.526841809
construction-ppe,detr,original,labels,multiclass,explicit,1,1132,1132,4,640,0.577616119,0.299645908,0.635390583,0.59820795
construction-ppe,yolov8n,original,labels,object_only,explicit,1,1132,1132,32,640,0.738560538,0.3926581,0.810021108,0.627986348
construction-ppe,detr,original,labels,object_only,explicit,1,1132,1132,4,640,0.7553318,0.404436701,0.826763459,0.655601859
construction-ppe,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1132,1132,32,640,0.024676549,0.004874362,0.008090949,0.183814179
construction-ppe,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1132,1132,4,640,0.02247283,0.004738288,0.134792842,0.091876505
construction-ppe,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,1132,1132,32,640,0.089090172,0.015703174,0.163009166,0.148227586
construction-ppe,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,1132,1132,4,640,0.059864195,0.009708233,0.158473142,0.171501706
construction-ppe,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1132,1132,32,640,0.173459636,0.032271572,0.598407771,0.168003549
construction-ppe,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1132,1132,4,640,0.166581973,0.03096422,0.415968767,0.27015667
construction-ppe,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,1132,1132,32,640,0.265359857,0.05061174,0.421683102,0.354095563
construction-ppe,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,1132,1132,4,640,0.23373935,0.040292908,0.446026945,0.330438146
construction-ppe,yolov8n,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1132,1132,32,640,0.428114033,0.118130921,0.585960596,0.406067347
construction-ppe,detr,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1132,1132,4,640,0.477432685,0.131214615,0.550702329,0.486238157
construction-ppe,yolov8n,scale_0.8,labels_scale_0.8,object_only,explicit,1,1132,1132,32,640,0.585609244,0.171627224,0.709895685,0.511539335
construction-ppe,detr,scale_0.8,labels_scale_0.8,object_only,explicit,1,1132,1132,4,640,0.631939192,0.185401451,0.757527129,0.568259386
construction-ppe,yolov8n,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1132,1132,32,640,0.52124938,0.219494976,0.682780914,0.497060654
construction-ppe,detr,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1132,1132,4,640,0.568383172,0.24711334,0.637065412,0.588373784
construction-ppe,yolov8n,scale_0.9,labels_scale_0.9,object_only,explicit,1,1132,1132,32,640,0.69758732,0.308460591,0.804867491,0.593856655
construction-ppe,detr,scale_0.9,labels_scale_0.9,object_only,explicit,1,1132,1132,4,640,0.728536205,0.340674495,0.797219405,0.642491468
construction-ppe,yolov8n,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1132,1132,32,640,0.522789978,0.233758351,0.722281678,0.489538827
construction-ppe,detr,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1132,1132,4,640,0.605162244,0.282963737,0.581542701,0.617233063
construction-ppe,yolov8n,scale_1.1,labels_scale_1.1,object_only,explicit,1,1132,1132,32,640,0.718046194,0.337780258,0.794837717,0.625426621
construction-ppe,detr,scale_1.1,labels_scale_1.1,object_only,explicit,1,1132,1132,4,640,0.752551388,0.359085299,0.844418569,0.652967612
construction-ppe,yolov8n,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1132,1132,32,640,0.470866224,0.174206698,0.72261212,0.42164639
construction-ppe,detr,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1132,1132,4,640,0.549920069,0.204872518,0.637919825,0.554629033
construction-ppe,yolov8n,scale_1.2,labels_scale_1.2,object_only,explicit,1,1132,1132,32,640,0.686753567,0.255266029,0.762646902,0.609215017
construction-ppe,detr,scale_1.2,labels_scale_1.2,object_only,explicit,1,1132,1132,4,640,0.681876397,0.259134747,0.763606236,0.631162872
construction-ppe,yolov8n,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1132,1132,32,640,0.392800395,0.104941883,0.569770256,0.40840039
construction-ppe,detr,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1132,1132,4,640,0.434105675,0.116820188,0.669669386,0.441614063
construction-ppe,yolov8n,scale_1.3,labels_scale_1.3,object_only,explicit,1,1132,1132,32,640,0.58590874,0.152809607,0.671112718,0.545221843
construction-ppe,detr,scale_1.3,labels_scale_1.3,object_only,explicit,1,1132,1132,4,640,0.616824686,0.185261122,0.710718193,0.572283843
construction-ppe,yolov8n,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1132,1132,32,640,0.245774184,0.058984873,0.414127759,0.311077694
construction-ppe,detr,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1132,1132,4,640,0.316143787,0.07180709,0.543505372,0.379975933
construction-ppe,yolov8n,scale_1.4,labels_scale_1.4,object_only,explicit,1,1132,1132,32,640,0.38571586,0.084474258,0.509525765,0.438566553
construction-ppe,detr,scale_1.4,labels_scale_1.4,object_only,explicit,1,1132,1132,4,640,0.453651995,0.112121816,0.614281947,0.44841936
Custom_Blood,yolov8n,original,labels,multiclass,explicit,1,1105,1105,32,640,0.21667578,0.147967198,0.723774523,0.269876701
Custom_Blood,detr,original,labels,multiclass,explicit,1,1105,1105,4,640,0.312341915,0.212908941,0.721245152,0.331466757
Custom_Blood,yolov8n,original,labels,object_only,explicit,1,1105,1105,32,640,0.906304056,0.651083501,0.876793591,0.849247823
Custom_Blood,detr,original,labels,object_only,explicit,1,1105,1105,4,640,0.946328473,0.688375592,0.920858074,0.935866983
Custom_Blood,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1105,1105,32,640,0.007830223,0.001557433,0.426690545,0.023203634
Custom_Blood,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,1105,1105,4,640,0.011529668,0.002346823,0.519829231,0.030958808
