dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
african-wildlife,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.9227840932000544,0.7357790883985931,0.9145547700366874,0.8647224045457401,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.07068537020231251,0.00991603089372754,0.21422351911875603,0.17553181214258892,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.9374659366533791,0.7401770082238621,0.8945021005674715,0.8784776961237304,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.9139570738051688,0.7313636134805221,0.8776527726821974,0.8361087013721626,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.9182062483520401,0.6972528274255465,0.9150618417386258,0.8365967093747384,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.9293610590517182,0.7294029835675934,0.9037795445988135,0.8578402606998439,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.9360254713386718,0.7512598566173875,0.8993383419418692,0.8732597187227822,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.9064534888817143,0.6577676580157135,0.8850783155020607,0.8377177730603859,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.9180792498947603,0.7102314380388446,0.8949397125580142,0.8315752206428101,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.9271255293663968,0.7406092735707357,0.951031632494604,0.8250775268029242,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
