dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
homeobjects-3K,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.5743805013108242,0.3892785107397432,0.6194475699726766,0.5558046412849061,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.5126151228023834,0.30795416485580246,0.6165441448508314,0.4944541694530968,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.5845526255958025,0.39320670572770655,0.5975131707707056,0.5649459732500949,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.3726721668151813,0.2128076960812601,0.5615736124100302,0.3592850839578161,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
african-wildlife,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.09678563564928686,0.013645699636073472,0.2208320995144516,0.23429824672608335,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.1098521974183583,0.015554364556762387,0.2541923433483859,0.2423614569683053,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.9063338662102123,0.5336804361083635,0.9215768936270626,0.8352312304251044,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.8694295446541941,0.49859502792528776,0.8835754803903253,0.790833092689927,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.9036748785494507,0.6285596913299173,0.9565185330930216,0.7986130309003522,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.9021586223419045,0.6647853560216328,0.933791753030236,0.8307002866516717,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.869378352064675,0.5587719865735167,0.8187817446765864,0.8195252342751134,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.8532884929759711,0.5391216387750143,0.8508194343916098,0.7874312987716126,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.9088934178061345,0.6660575735409756,0.9081765868308239,0.8228428644724998,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.9110680982610264,0.6739340162821084,0.8766327983420639,0.8571895395151363,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.7820206763834361,0.49023946868155444,0.7600020851708831,0.711933535692071,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.8217630118945063,0.5045812830915709,0.8228617965077789,0.7448649299334437,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.5678585475817133,0.29105924410901307,0.6225716689768279,0.47261661847246167,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/african-wildlife/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.5297255156334526,0.27845989761664847,0.5488012565740904,0.40294724068988186,/home/ISW/project/object_detect_refine_sam/_yamls/african-wildlife/data_eval_clean.yaml
construction-ppe,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.20351515644313878,0.049903209385677286,0.4332950304565074,0.24406900057964453,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.20111707817482224,0.04872535619864346,0.3485869371851155,0.26455413320372156,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.31522456914569236,0.10138466709949315,0.4676173642364232,0.35347014125147547,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.3263926764798255,0.10228691401147272,0.499965104250529,0.3659635225466071,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.3299895901487127,0.11499688329431527,0.6011638772054014,0.35521335439141966,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.33103903388542494,0.11162501644559211,0.5571185950566859,0.3606278373571164,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.28595338733789083,0.08991983684250583,0.5449698291661039,0.32024690000440137,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.2826843726721783,0.08777906129066687,0.45052777000657335,0.3263062937087479,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.33037242685799983,0.1137628707065104,0.5530365543528034,0.3602656825644625,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.33770647346462024,0.11410898678237881,0.5576050681605746,0.3799488680864595,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.2749124151353893,0.08683897909527316,0.49836877190741286,0.3109819457747666,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.2702074868271762,0.0843775799488111,0.2915332441018135,0.32086976118364663,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.2286275401800019,0.06572574242736112,0.4724030322885709,0.24912897986276825,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/construction-ppe/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.22298337362715542,0.06357747417870098,0.45814473025713304,0.24584601056148223,/home/ISW/project/object_detect_refine_sam/_yamls/construction-ppe/data_eval_clean.yaml
brain-tumor,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.27621558645466826,0.06327983199369175,0.30558894743053866,0.6043066129273026,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.26805454909897675,0.06211117074941199,0.3045039252796334,0.6145320197044335,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.43507032222753567,0.2602987278020704,0.4350180503323939,0.7717383709313899,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.4320730532627612,0.2507911854920739,0.41616074712500967,0.7891476339752201,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.40816080783614367,0.24648588490840292,0.4175413324408437,0.6621041582369633,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.4170462403914816,0.24685145172541567,0.4340197297010842,0.7126421858211873,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.38127436966105244,0.2097801730090584,0.3787768729956661,0.6499768745855862,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.4060562390639423,0.22546986083917808,0.395617465567536,0.7055106959802131,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/brain-tumor/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.43819096412713143,0.28263707763742324,0.43858596659423843,0.7102179429765636,/home/ISW/project/object_detect_refine_sam/_yamls/brain-tumor/data_eval_clean.yaml
